direcao,nota_media
'Evil' Ted Smith,4.0
'Philthy' Phil Phillips,3.7
A. Dean Bell,4.65
A. Edward Sutherland,6.319047619047619
"A. Edward Sutherland, John Rawlins",5.9
"A. Edward Sutherland, Wesley Ruggles",6.6
A. Raven Cruz,2.1
A.D. Calvo,5.016666666666667
A.J. Edwards,6.05
A.J. Kparr,4.7
A.J. Martinson,4.5
A.J. Mattioli,5.7
A.M. Lukas,5.8
A.T. White,5.3
AJ Wedding,3.4
Aaron B. Koontz,4.15
Aaron Barsky,2.3
"Aaron Blaise, Robert Walker",6.8
"Aaron Burk, Tyler Burk",2.4
Aaron Burns,5.5
"Aaron Douglas Johnston, Sam de Jong",4.1
Aaron Fisher,4.5
Aaron Fradkin,5.3
Aaron Fronk,6.8
Aaron Godfred,3.6
"Aaron Hann, Mario Miscione",6.0
Aaron Harvey,4.35
"Aaron Horvath, Peter Rida Michail",6.8
Aaron Hultgren,3.4
Aaron J. Wiederspahn,6.6
Aaron Jay Rome,6.0
Aaron K. Carter,7.55
Aaron Katz,6.075
Aaron Kaufman,4.5
"Aaron Keeling, Austin Keeling",5.2
Aaron Leong,3.4
Aaron Lipstadt,4.15
Aaron Mendelsohn,5.6
Aaron Michael Metchik,6.1
Aaron Mirtes,3.033333333333333
"Aaron Nee, Adam Nee",6.0
Aaron Norris,4.728571428571429
Aaron Osborne,3.8
"Aaron Osborne, Dave Parker",3.2
Aaron Re,7.2
Aaron Robson,2.5
Aaron Rottinghaus,5.4
Aaron Russman,2.8
Aaron Schimberg,6.6
"Aaron Sharff, Billy Sharff",6.1
Aaron Vanek,6.0
Aaron Warren,5.6
Aaron Woodley,5.95
Aaron Woolfolk,6.4
Abbe Wool,6.5
Abby Berlin,6.76
"Abby Berlin, Norman Foster",6.8
Abdul Malik Abbott,4.5
Abe Levitow,6.9
"Abe Levy, Silver Tree",5.0
Abe Sylvia,6.4
"Abel Berry, Jennifer Michelle Stone II",3.8
Abel Ferrara,6.029999999999999
"Abel Vang, Burlee Vang",4.2
"Abiel Bruhn, John Rocco",4.8
Abner Biberman,6.199999999999999
Abraham Polonsky,6.8
Abram Cox,5.5
Ace Cruz,3.8499999999999996
Ace Jordan,3.6
Adam Abraham,6.9
Adam Ahlbrandt,3.5
Adam Bailey,2.3
Adam Baratta,5.0
"Adam Bartlett, John Pata",5.0
"Adam Beamer, Evan Beamer",5.1
Adam Bernstein,6.3
Adam Bhala Lough,5.699999999999999
"Adam Boster, Kenneth Chamitoff",4.0
Adam Bowers,6.6
